name,glon,glat,ts,r95,diffuse,d,Fp,Ep,source type
4FGL J0000.3-7355,307.731,-42.736,71.918,0.047,-0.417,0.220,0.020,1.072,UNID-BLL
4FGL J0000.5+0743,101.711,-52.969,41.813,0.143,-0.392,0.219,0.041,0.447,UNID-BLL
4FGL J0001.6+3503,111.541,-26.724,69.926,0.077,-0.248,0.649,0.053,0.859,UNID-FSRQ
4FGL J0002.1+6721,118.239,4.902,100.100,0.108,0.881,0.490,0.717,0.538,unk-psr
4FGL J0002.8+6217,117.325,-0.054,1400.081,0.029,0.710,0.771,23.180,0.869,young
4FGL J0003.3+2511,109.330,-36.479,118.723,0.077,-0.400,0.667,0.109,0.879,UNID-FSRQ
4FGL J0003.6+3059,111.025,-30.789,189.403,0.054,-0.330,1.275,0.263,1.897,UNID-PSR
4FGL J0004.0+5715,116.515,-5.067,131.898,0.049,0.397,0.265,0.601,0.210,UNID-FSRQ
4FGL J0004.4-4001,336.980,-73.836,174.740,0.054,-0.752,0.091,0.074,0.151,UNID-BLL
4FGL J0005.5+6634,118.389,4.110,44.554,0.165,0.862,0.809,1.678,0.355,UNID-PSR
4FGL J0005.6+6746,118.630,5.207,31.646,0.110,0.837,0.640,0.967,0.358,UNID-PSR
4FGL J0006.3-1813,71.143,-76.305,41.902,0.081,-0.682,0.076,0.014,0.100,UNID-BLL
4FGL J0006.6+4618,114.972,-15.890,52.349,0.047,-0.123,0.778,0.021,7.705,UNID-BLL
4FGL J0007.0+7303,119.663,10.463,385259.767,0.008,0.304,0.559,23705.986,1.928,young
4FGL J0007.4-0322,97.121,-64.017,39.795,0.071,-0.484,1.032,0.019,9.408,UNID-BLL
4FGL J0008.4+6926,119.144,6.880,95.095,0.045,0.741,0.121,0.559,0.106,UNID-FSRQ
4FGL J0008.9+2509,110.827,-36.737,31.196,0.206,-0.445,0.286,0.655,0.100,UNID-FSRQ
4FGL J0009.1-5012,319.028,-65.592,102.170,0.183,-0.705,0.276,0.154,0.212,UNID-FSRQ
4FGL J0009.2+1745,108.996,-43.966,58.255,0.114,-0.464,0.361,0.197,0.203,UNID-FSRQ
4FGL J0009.7-1418,83.485,-73.791,61.919,0.054,-0.583,0.143,0.336,0.100,UNID-FSRQ
4FGL J0009.9+2810,111.973,-33.826,61.481,0.081,-0.376,0.307,0.009,6.120,UNID-BLL
4FGL J0010.2-2431,46.080,-80.396,26.871,0.114,-0.716,0.274,0.006,2.030,UNID-BLL
4FGL J0011.5+4822,116.118,-13.961,43.345,0.233,-0.098,0.270,0.444,0.100,UNID-FSRQ
4FGL J0017.1-4605,320.436,-69.826,71.881,0.155,-0.744,0.113,1.181,0.100,UNID-FSRQ
4FGL J0017.4+6506,119.340,2.479,29.711,0.077,0.996,0.264,0.045,5.785,UNID-BLL
4FGL J0018.8+5112,117.758,-11.349,35.081,0.197,0.001,0.021,0.502,0.100,UNID-BLL
4FGL J0021.7+4533,117.505,-16.996,35.574,0.082,-0.202,0.484,0.016,0.975,UNID-BLL
4FGL J0022.0-5921,310.075,-57.413,48.351,0.049,-0.717,0.071,0.593,0.100,UNID-BLL
4FGL J0023.2+8412,122.183,21.453,31.059,0.117,-0.212,0.753,0.010,1.316,UNID-BLL
4FGL J0023.4+0920,111.384,-52.870,864.019,0.030,-0.218,0.829,3.716,1.131,MSP
4FGL J0023.6-4209,321.820,-73.945,35.422,0.125,-0.729,-0.083,0.033,0.100,UNID-BLL
4FGL J0024.0-7204,305.908,-44.893,12704.447,0.013,-0.426,0.713,58.250,1.402,glc
4FGL J0024.1+2402,114.967,-38.411,90.075,0.046,-0.465,0.008,0.114,0.100,UNID-BLL
4FGL J0024.1+7909,121.596,16.345,49.581,0.039,0.075,0.248,0.013,4.761,UNID-BLL
4FGL J0025.4-4838,314.359,-67.913,175.486,0.061,-0.718,-0.080,0.428,0.100,UNID-BLL
4FGL J0026.1-0732,104.794,-69.518,93.491,0.039,-0.529,0.254,0.045,11.099,UNID-BLL
4FGL J0027.0-1134,101.514,-73.422,30.544,0.056,-0.594,0.028,0.011,1000.000,UNID-BLL
4FGL J0030.4+0451,113.131,-57.612,26115.682,0.012,-0.595,0.857,419.849,1.200,MSP
4FGL J0030.9-3618,327.112,-79.891,65.842,0.045,-0.756,-0.035,0.030,1000.000,UNID-BLL
4FGL J0031.0-2327,70.325,-84.133,102.428,0.069,-0.725,1.102,0.070,1.948,UNID-PSR
4FGL J0031.5-4025,318.873,-76.011,37.994,0.175,-0.604,0.490,0.016,0.478,UNID-BLL
4FGL J0031.5-5648,308.401,-60.098,68.851,0.071,-0.664,0.295,0.019,9.545,UNID-BLL
4FGL J0032.3-5539,308.537,-61.258,41.564,0.046,-0.651,0.213,0.031,328.527,UNID-BLL
4FGL J0034.3-0534,111.491,-68.071,4149.070,0.019,-0.532,0.505,21.909,0.773,MSP
4FGL J0034.6+6438,121.124,1.838,114.045,0.064,0.877,0.296,0.917,0.508,UNID-PSR
4FGL J0035.2-1739,100.640,-79.802,35.341,0.050,-0.742,0.212,0.007,45.819,UNID-BLL
4FGL J0039.1+6257,121.531,0.119,853.259,0.028,0.886,0.913,9.023,1.585,UNID-PSR
4FGL J0039.7+4203,120.619,-20.754,34.537,0.083,-0.331,0.045,0.111,0.100,UNID-BLL
4FGL J0040.2-2725,25.950,-87.471,55.171,0.061,-0.758,0.238,0.008,6.713,UNID-BLL
4FGL J0040.7-7157,304.100,-45.136,64.041,0.057,-0.391,0.435,0.019,4.994,UNID-BLL
4FGL J0041.3-0048,117.249,-63.563,107.167,0.566,-0.631,0.196,2.849,0.100,UNID-FSRQ
4FGL J0041.3+6052,121.741,-1.940,248.213,0.093,0.550,1.193,7.598,0.382,bcu-psr
4FGL J0042.3+3509,120.842,-27.674,30.714,0.073,-0.328,0.620,0.010,17.834,UNID-BLL
4FGL J0043.2+4114,121.303,-21.662,97.760,0.103,-0.218,0.505,0.230,0.433,gal-psr
4FGL J0045.9-2021,112.156,-83.111,78.883,0.053,-0.755,0.156,0.016,2.241,UNID-BLL
4FGL J0046.7-7048,303.496,-46.199,33.740,0.069,-0.420,-0.044,0.035,0.100,UNID-BLL
4FGL J0046.9+0705,120.908,-55.764,37.379,0.078,-0.402,0.428,0.018,1.184,UNID-BLL
4FGL J0048.6-6347,303.472,-53.378,304.628,0.037,-0.657,0.664,0.217,1.809,UNID-PSR
4FGL J0052.1+6444,123.031,1.881,114.708,0.076,0.855,0.439,1.107,0.587,UNID-PSR
